Area,0 to 15,16 to 64,65 to 84,85 and over,Total
E01020146,0.18151,0.65564,0.1408,0.02205,1
E01020147,0.12267,0.5552,0.28747,0.03467,1
E01020148,0.14654,0.59147,0.24245,0.01954,1
E01020149,0.18175,0.57966,0.21541,0.02319,1
E01020150,0.15193,0.54473,0.24193,0.06141,1
E01020151,0.08019,0.47184,0.38834,0.05964,1
E01020152,0.07901,0.52524,0.32699,0.06876,1
E01020153,0.10122,0.52356,0.34904,0.02618,1
E01020154,0.17277,0.70942,0.10668,0.01113,1
E01020155,0.18992,0.58506,0.18902,0.036,1
E01020156,0.15658,0.53506,0.27329,0.03506,1
E01020157,0.16094,0.56847,0.24576,0.02482,1
E01020158,0.15636,0.5916,0.2217,0.03034,1
E01020159,0.19433,0.5641,0.2112,0.03036,1
E01020160,0.16349,0.61836,0.20371,0.01444,1
E01020161,0.16529,0.55468,0.2208,0.05924,1
E01020162,0.2089,0.63906,0.144,0.00803,1
E01020163,0.20231,0.62617,0.15228,0.01924,1
E01020164,0.17343,0.61941,0.18926,0.01789,1
E01020165,0.21235,0.6358,0.13457,0.01728,1
E01020166,0.17739,0.58497,0.20582,0.03182,1
E01020167,0.21041,0.6365,0.13198,0.02112,1
E01020168,0.15265,0.50378,0.27836,0.06522,1
E01020169,0.16546,0.61226,0.18305,0.03922,1
E01020170,0.14266,0.54339,0.28033,0.03362,1
E01020171,0.11964,0.4941,0.33959,0.04667,1
E01020172,0.14356,0.52822,0.28712,0.0411,1
E01020173,0.098,0.51002,0.33482,0.05716,1
E01020174,0.13519,0.49483,0.3273,0.04269,1
E01020175,0.12506,0.47514,0.35894,0.04087,1
E01020176,0.13327,0.55515,0.25092,0.06066,1
E01020177,0.17639,0.52171,0.23406,0.06784,1
E01020178,0.14186,0.47885,0.33549,0.0438,1
