Area,Label,RD&E Exeter Hospital,Barnstaple Hospital,Torbay Hospital,Plymouth Hospital,Community Hospital,Outside Devon,Total
E01015056,Plymouth 021B,0,0,<5,233,0,<5,237
E01015057,Plymouth 021C,<5,0,0,255,0,5,261
E01015058,Plymouth 012C,<5,0,<5,213,0,<5,216
E01015059,Plymouth 021D,<5,0,<5,143,0,0,145
E01015060,Plymouth 021E,0,0,0,186,<5,<5,188
E01015061,Plymouth 025A,0,<5,<5,126,0,<5,130
E01015062,Plymouth 025B,0,0,<5,127,0,<5,131
E01015063,Plymouth 010A,<5,0,0,194,0,6,202
E01015064,Plymouth 008B,0,0,0,182,0,<5,184
E01015065,Plymouth 008C,<5,0,0,187,0,<5,192
E01015066,Plymouth 012D,0,0,0,121,0,<5,124
E01015067,Plymouth 012E,0,0,0,154,0,<5,158
E01015068,Plymouth 010B,0,0,0,101,0,<5,103
E01015069,Plymouth 010C,0,0,<5,178,0,0,181
E01015070,Plymouth 007B,<5,0,<5,237,0,7,248
E01015071,Plymouth 008D,<5,0,<5,191,0,0,194
E01015072,Plymouth 013A,0,0,0,175,0,<5,176
E01015073,Plymouth 013B,0,0,<5,185,0,<5,187
E01015074,Plymouth 011A,<5,0,0,203,0,<5,205
E01015075,Plymouth 014D,0,0,0,193,0,6,199
E01015076,Plymouth 009A,0,0,0,107,0,<5,109
E01015077,Plymouth 011B,0,0,<5,261,0,<5,266
E01015078,Plymouth 013C,0,0,<5,247,0,6,254
E01015079,Plymouth 011C,0,0,0,130,0,<5,133
E01015080,Plymouth 013D,0,0,0,69,0,0,69
E01015081,Plymouth 007C,0,0,<5,169,0,<5,175
E01015082,Plymouth 004B,0,0,<5,247,0,<5,252
E01015083,Plymouth 004C,0,0,<5,250,0,<5,255
E01015084,Plymouth 004D,<5,0,<5,188,0,<5,194
E01015085,Plymouth 006A,<5,0,0,188,0,<5,192
E01015086,Plymouth 007D,0,0,0,178,0,<5,180
E01015087,Plymouth 006B,0,0,0,146,0,<5,148
E01015088,Plymouth 006C,0,0,0,200,0,0,200
E01015089,Plymouth 007E,0,0,0,206,0,<5,208
E01015090,Plymouth 005A,0,0,<5,128,0,<5,132
E01015091,Plymouth 005B,0,0,<5,141,0,<5,144
E01015092,Plymouth 005C,0,0,0,150,0,7,157
E01015093,Plymouth 005D,0,0,0,186,0,<5,188
E01015094,Plymouth 005E,<5,0,<5,184,0,<5,187
E01015095,Plymouth 010D,0,0,<5,188,0,<5,191
E01015096,Plymouth 010E,0,0,0,172,0,0,172
E01015097,Plymouth 001B,0,0,0,243,0,<5,245
E01015098,Plymouth 017A,0,0,0,124,0,<5,127
E01015099,Plymouth 017B,0,0,0,102,0,<5,105
E01015100,Plymouth 017C,0,0,0,101,0,<5,103
E01015101,Plymouth 016E,0,0,0,186,0,5,191
E01015102,Plymouth 011D,0,0,0,155,0,<5,158
E01015103,Plymouth 017D,<5,0,0,156,0,<5,158
E01015104,Plymouth 011E,0,0,0,126,0,5,131
E01015105,Plymouth 017E,<5,0,<5,123,0,<5,128
E01015106,Plymouth 013E,0,0,<5,112,0,<5,114
E01015107,Plymouth 018A,0,0,0,121,0,<5,124
E01015108,Plymouth 022A,<5,0,0,182,0,<5,186
E01015109,Plymouth 022B,<5,0,0,123,0,<5,126
E01015110,Plymouth 018B,<5,0,0,104,0,<5,106
E01015111,Plymouth 018C,0,0,<5,126,0,<5,129
E01015112,Plymouth 019A,0,0,0,168,0,<5,171
E01015113,Plymouth 019B,<5,0,<5,113,0,<5,118
E01015114,Plymouth 019C,0,0,0,130,0,<5,132
