Area,2011,2012,2013,2014,2015,2016
E01019924,56646.16176,58874.83068,52336.26234,47585.02424,48350.3028,47055.87685
E01019925,44820.29432,35672.37595,38613.89116,34432.80832,33842.77854,33107.64134
E01019927,86477.7707,80401.99628,80930.36944,76103.99581,75668.16206,62592.23614
E01019928,89860.8442,72308.04395,75949.29509,66084.6924,68721.16386,68143.84847
E01019929,68428.59022,67451.34006,63538.88728,56762.27909,57439.73007,56954.40598
E01019930,61301.09196,61888.5838,53368.17603,46494.4098,46024.57632,44736.74621
E01019931,49200.3272,54497.18846,51748.36033,46406.13811,45932.42763,45257.91783
E01019932,73552.19578,71650.88767,61735.20055,58016.87148,55464.60903,58178.01483
E01019933,74149.98455,64876.1665,70976.19717,65668.01903,57476.07819,55556.84742
E01019934,68061.40489,71789.75175,64977.64205,58192.9612,57518.40142,60165.27377
E01019935,32767.44959,31271.26947,37127.75117,32365.84641,32648.08057,30566.44182
E01019936,40037.48226,34784.38935,20610.80385,22951.69055,24143.08249,22692.60852
E01019937,34435.78987,31489.1489,29741.73848,28035.07182,29426.4142,29330.14138
E01019938,42376.60119,49905.46036,41677.98705,38717.59426,40076.28425,40341.31427
E01019939,33807.76512,31954.31833,29215.47893,24666.68666,28512.2902,28488.75106
E01019940,40540.09149,30755.42221,27017.90884,24795.68662,25889.15181,25613.95395
E01019942,30544.71881,30903.57268,33435.50388,29838.25407,30392.56493,30305.48288
E01019943,30899.58713,29255.2341,27171.26472,25831.09378,27510.95153,26361.64783
E01019944,29033.34091,29726.94892,27784.38372,25764.95052,27156.15667,27819.02325
E01019945,34286.64363,37088.53645,35023.57637,32084.59019,33051.42805,32924.94629
E01019946,29656.2701,24710.17681,21609.98209,20113.6858,20105.02697,20053.17257
E01019947,27601.38082,28932.87692,29256.357,24993.17617,25102.31186,25335.4514
E01019948,27902.40226,27078.57161,23534.29665,21914.97297,23068.22156,22116.2811
E01019949,20971.58868,24857.66885,25526.98392,21987.74669,22162.53162,21459.32979
E01019950,37405.94154,38861.35121,35497.83157,31007.16491,32331.70703,29239.38744
E01019951,27598.45373,28132.75745,28847.19141,25807.19141,29019.88982,31321.97315
E01019952,28571.11603,29719.05391,30125.92014,27420.03778,27140.07688,27238.58564
E01019953,33592.90933,33248.88708,34760.63877,30157.13,31917.14595,30462.8831
E01019954,36393.80003,37148.86644,37047.13432,31933.67803,34963.01168,35154.73085
E01019955,30013.67352,33445.61331,24989.65975,23194.1042,26634.11306,27020.90497
E01019956,25468.51468,27259.93851,24697.68946,23453.19737,26759.43668,27285.11301
E01019957,23375.48741,20692.73106,21351.46966,19538.13632,18526.54212,18884.34053
E01019958,23789.5492,22826.71579,22149.08028,20463.40909,22509.43634,25282.21538
E01019959,51588.35029,47099.69414,53035.97354,49350.14979,48729.25369,43058.29276
E01019960,29703.04689,26803.70959,30603.20578,28266.29232,29086.4033,27354.19755
E01019961,17991.0159,20231.49932,22984.85888,20813.43031,21339.47848,19160.66635
E01019962,29166.39031,29680.49845,27737.055,25171.52832,25947.65004,25369.90425
E01019963,33236.4897,31534.15236,28095.14545,25913.32727,26719.90898,26461.18204
E01019964,34749.9333,31538.30689,30287.95426,28183.71183,29911.8961,30970.78019
E01019965,46570.67374,40173.75889,39665.57984,37644.68505,38313.59509,38909.61874
E01019966,21421.63425,26073.6754,25574.31362,23227.64695,24302.79315,21196.5659
E01019967,25102.83795,27691.91896,28256.10593,25932.06552,28269.38761,23861.95932
E01019968,36910.03997,35074.42978,30912.08098,27662.85021,32330.69816,30323.40061
E01019969,31493.93167,36036.94373,34450.74904,30550.74904,29192.92663,26788.76749
E01019970,38759.08144,32905.62084,29364.62794,26552.78125,27305.07846,24110.21183
E01019971,33313.32584,40874.59097,36470.13585,32205.97898,30530.20718,28495.95263
E01019972,36481.92499,34860.04092,36556.23959,31890.63113,34497.6296,31103.64753
E01019973,37149.95642,37710.38133,32194.9755,29637.71055,31367.37477,31754.98047
E01019974,37800.34286,40327.92523,41119.50545,36777.45693,36916.57094,34969.61943
E01019975,41911.09743,43003.35002,39477.84838,35228.07462,36635.97256,36660.64399
E01019976,33894.88156,36656.57821,29015.85655,27590.40201,29247.72386,30290.53125
