Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015117,0.004697525,0.004634778,0.004672223,0.004761995,0.006083875,0.005995513,0.006050436,0.006316612,0.006346962,0.006653878,0.00658095,0.007796008,0.006818743,0.008020939,0.006818743
E01015118,0.003712196,0.003843179,0.003791394,0.003691902,0.003632328,0.005438754,0.003443409,0.003432906,0.005225783,0.005321967,0.00337458,0.003364493,0.00535482,0.00535482,0.00535482
E01015119,0.002950021,0.004659674,0.00443721,0.005646943,0.005656616,0.004384873,0.004403423,0.004444788,0.004553676,0.004460024,0.004533842,0.005968424,0.005973822,0.007028696,0.004714546
E01015120,0.003787142,0.003624529,0.005626914,0.005608722,0.003475307,0.005273436,0.005371399,0.008206986,0.008224329,0.00814686,0.006904277,0.008215648,0.006962502,0.006962502,0.008189717
E01015121,0.00342942,0.003511448,0.005764009,0,0.004040955,0,0.004040955,0.004075094,0.004055516,0.006402119,0.004265573,0.006681556,0.006750888,0.006750888,0.006750888
E01015122,0.00587461,0.005815533,0.005732268,0.005861378,0.005887901,0.003791394,0.005948465,0.005948465,0.007317324,0.007301147,0.007189878,0.007229225,0.007221321,0.007221321,0.005700874
E01015123,0.004089902,0.006378581,0.004287237,0.006647422,0.006724721,0.004364827,0.008332795,0.008188173,0.006240908,0.007534347,0.007391018,0.007044184,0.005626914,0.007127805,0.005626914
E01015124,0,0.0034364,0.003529803,0,0.003609033,0.003605179,0.003648025,0.005669822,0.005626914,0.005789656,0.005854785,0.00613064,0.006024201,0.006024201,0.006024201
E01015125,0.003087599,0.003023998,0.00478388,0.004819318,0.004823784,0.004933524,0.006304553,0.005349316,0.003419002,0.003518767,0.006769819,0.006947854,0.007213435,0.007213435,0.005694636
E01015126,0.004445277,0.004712027,0.00460283,0,0.004628066,0.004559323,0.004628066,0.007279652,0.00734126,0.004953997,0.004961276,0.007922328,0.005238367,0.005238367,0.008057234
E01015127,0.005338343,0.005371399,0.00670794,0.007882852,0.006541841,0.006509604,0.00675597,0.006969849,0.008512121,0.007399298,0.007466212,0.007638913,0.007542951,0.007542951,0.007542951
E01015128,0.005028861,0.003213974,0.003213974,0.003232435,0.003204822,0.003295533,0.005220541,0.005338343,0.005371399,0.005519503,0.005450145,0.007006819,0.007205565,0.007205565,0.005688412
E01015129,0.003241745,0.004995077,0.004914889,0.006396133,0.006414769,0.006484041,0.006471335,0.006640499,0.005112844,0.006561337,0.006674049,0.006797689,0.006918742,0.006918742,0.00354835
E01015130,0,0.002889434,0.002976022,0.004541755,0.004553676,0.002944875,0.003051326,0.004801534,0.004775102,0.004740309,0.005968424,0.005990076,0.006163357,0.006163357,0.006163357
E01015131,0,0,0,0.003891907,0.003941886,0.004036125,0.004060393,0,0.006489933,0.004222895,0.004303631,0.006768446,0.006830626,0.004439432,0.006830626
E01015132,0.006203714,0.008028917,0.006263439,0.00618896,0.006218538,0.006024201,0.007701261,0.006073409,0.007764635,0.006152381,0.00766551,0.007755518,0.007810545,0.007810545,0.007810545
E01015133,0.003716282,0.003782899,0.003804209,0.005789656,0.005881248,0.005776804,0.005861378,0.00744937,0.007440978,0.005962093,0.006080504,0.006031182,0.007875738,0.007875738,0.006218538
