Area,Label,IMD Score
E01020324,West Devon 006B,18.437
E01020325,West Devon 004B,19.08
E01020326,West Devon 001D,16.078
E01020327,West Devon 002A,12.51
E01020328,West Devon 002B,21.581
E01020329,West Devon 002C,16.838
E01020330,West Devon 002D,21.876
E01020331,West Devon 004C,19.738
E01020332,West Devon 005A,19.16
E01020333,West Devon 005B,9.149
E01020334,West Devon 005C,21.92
E01020335,West Devon 005D,14.409
E01020336,West Devon 005E,3.065
E01020337,West Devon 005F,23.236
E01020338,West Devon 005G,15.153
E01020339,West Devon 003D,20.356
E01020340,West Devon 004D,19.235
E01020341,West Devon 006C,11.043
E01020342,West Devon 006D,19.164
E01032628,East Devon 004G,12.498
E01032657,Plymouth 027F,19.094
E01032658,Plymouth 027G,49.832
E01033232,Exeter 011F,10.618
E01033233,Exeter 001F,7.284
E01033234,Exeter 011G,7.16
E01033235,Exeter 015E,6.44
E01033236,Exeter 015F,6.976
E07000040,East Devon,12.698
E07000041,Exeter,18.212
E07000042,Mid Devon,17.128
E07000043,North Devon,20.682
E07000044,South Hams,14.072
E07000045,Teignbridge,16.525
E07000046,Torridge,23.201
E07000047,West Devon,17.846
E10000008,Devon,17.086
E06000026,Plymouth,26.643
E06000027,Torbay,28.788
IMDQ1,Q1 - Most Deprived,46.331
IMDQ2,Q2 - Above Average,26.397
IMDQ3,Q3 - Average,17.364
IMDQ4,Q4 - Below Average,10.909
IMDQ5,Q5 - Least Deprived,6.327
E02003122,Plymouth 001,11.1
E02003123,Plymouth 002,28.27
E02003124,Plymouth 003,32.106
E02003125,Plymouth 004,35.017
E02003126,Plymouth 005,22.374
E02003127,Plymouth 006,37.615
E02003128,Plymouth 007,33.46
E02003129,Plymouth 008,16.548
E02003130,Plymouth 009,37.037
E02003131,Plymouth 010,25.792
E02003132,Plymouth 011,20.888
E02003133,Plymouth 012,19.136
E02003134,Plymouth 013,43.728
E02003135,Plymouth 014,39.971
E02003136,Plymouth 015,11.235
E02003137,Plymouth 016,8.366
E02003138,Plymouth 017,10.707
E02003139,Plymouth 018,10.197
E02003140,Plymouth 019,10.462
E02003141,Plymouth 020,33.096
E02003142,Plymouth 021,35.176
E02003143,Plymouth 022,15.763
E02003144,Plymouth 023,22.993
E02003145,Plymouth 024,25.154
E02003146,Plymouth 025,23.389
E02003147,Plymouth 026,59.218
E02003148,Plymouth 027,40.621
E02003149,Plymouth 028,38.353
E02003150,Plymouth 029,48.113
E02003151,Plymouth 030,9.099
E02003152,Plymouth 031,14.033
E02003153,Plymouth 032,10.663
E02003154,Torbay 001,38.572
E02003155,Torbay 002,26.739
E02003156,Torbay 003,16.556
E02003157,Torbay 004,44.459
E02003158,Torbay 005,27.32
E02003159,Torbay 006,34.882
E02003161,Torbay 008,60.476
E02003163,Torbay 010,28.347
E02003164,Torbay 011,16.922
E02003165,Torbay 012,22.087
E02003166,Torbay 013,34.912
E02003167,Torbay 014,47.592
E02003168,Torbay 015,18.125
E02003169,Torbay 016,10.703
E02003170,Torbay 017,23.96
E02003171,Torbay 018,24.613
E02004129,East Devon 001,17.905
E02004130,East Devon 002,18.618
E02004131,East Devon 003,10.452
E02004132,East Devon 004,10.976
E02004133,East Devon 005,15.373
E02004134,East Devon 006,14.163
E02004135,East Devon 007,11.214
E02004136,East Devon 008,8.274
E02004137,East Devon 009,11.006
E02004138,East Devon 010,13.274
E02004139,East Devon 011,12.731
E02004140,East Devon 012,6.431
E02004141,East Devon 013,9.688
E02004142,East Devon 014,8.687
E02004143,East Devon 015,8.587
E02004144,East Devon 016,8.401
E02004145,East Devon 017,8.074
E02004146,East Devon 018,17.464
E02004147,East Devon 019,22.99
E02004148,East Devon 020,17.698
E02004149,Exeter 001,6.593
E02004150,Exeter 002,24.304
E02004151,Exeter 003,18.131
E02004152,Exeter 004,18.253
E02004153,Exeter 005,17.926
