Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015162,0.014925373,0.033707865,0.022321429,0.033898305,0.045964126,0.030439684,0.0390625,0.042391304,0.031390135,0.031914894,0.026595745,0.015957447
E01015163,0.00575374,0.012542759,0.01594533,0.011876485,0.035714286,0.018472906,0.031941032,0.023752969,0.018472906,0.018050542,0.012033694,0.012033694
E01015164,0.016239316,0.012006861,0.018092105,0.012285012,0.025821596,0.020233463,0.024428684,0.023734177,0.021126761,0.02027575,0.0162206,0.0162206
E01015165,0.012692656,0.012172285,0.011019284,0.008287293,0.025592417,0.023169601,0.017029328,0.01682243,0.013270142,0.014177694,0.009451796,0.009451796
E01015166,0.023809524,0.028798411,0.030273438,0.021978022,0.047426842,0.052683897,0.043627032,0.043650794,0.051463169,0.036845984,0.025792189,0.029476787
E01015167,0.026079137,0.03264095,0.03592233,0.023278371,0.060460653,0.051353875,0.047833935,0.057168784,0.044145873,0.039543058,0.017574692,0.021968366
E01015168,0.02548853,0.038939519,0.028409091,0.023547881,0.053042122,0.044357977,0.062968516,0.056879324,0.050702028,0.051792829,0.027888446,0.03187251
E01015169,0.030275229,0.02247191,0.023566379,0.012611276,0.035564854,0.03040774,0.038640906,0.036933798,0.034867503,0.034722222,0.020833333,0.027777778
E01015170,0.037578288,0.032753327,0.042914172,0.047713718,0.066990291,0.062317429,0.072232645,0.080536913,0.074757282,0.072815534,0.04368932,0.038834951
E01015171,0.035648995,0.041108132,0.031028369,0.026149684,0.048034934,0.043776824,0.056492411,0.060322855,0.048034934,0.046296296,0.029461279,0.033670034
E01015172,0.035436474,0.043956044,0.03820598,0.025121556,0.053398058,0.045914397,0.060790274,0.07535795,0.056634304,0.052122115,0.026061057,0.029784066
E01015173,0.010183299,0.027777778,0.018737673,0.021967526,0.052777778,0.036649215,0.035443038,0.039695946,0.033333333,0.029761905,0.012755102,0.021258503
E01015174,0.011246485,0.011090573,0.009124088,0.010119595,0.025688073,0.017992424,0.025423729,0.028258888,0.02293578,0.02179599,0.008718396,0.008718396
E01015175,0.028896673,0.027633851,0.02136401,0.021243116,0.052250804,0.0424,0.039262821,0.058411215,0.045819936,0.042177914,0.023006135,0.04601227
E01015176,0.02967033,0.032359081,0.028331584,0.01973001,0.046315789,0.028451001,0.037422037,0.039337474,0.033684211,0.031612223,0.021074816,0.015806112
E01015177,0.019182652,0.031993437,0.02700491,0.031301483,0.041329011,0.052631579,0.036021926,0.034317638,0.047001621,0.047808765,0.03187251,0.019920319
E01015178,0.033052039,0.027777778,0.022771633,0.028097063,0.041767554,0.036643026,0.045157457,0.039952996,0.042978208,0.040439053,0.028885038,0.025996534
E01015179,0.031888798,0.026962728,0.029839327,0.020673813,0.050401753,0.040352164,0.039056743,0.034883721,0.027757487,0.02752925,0.020646937,0.02752925
E01015180,0.048473968,0.068139963,0.049252419,0.048,0.077386071,0.065723794,0.069651741,0.071311475,0.084264832,0.081499593,0.044824776,0.044824776
E01015181,0.045849802,0.054545455,0.048816568,0.048034934,0.076760563,0.077294686,0.070790816,0.076771654,0.064788732,0.060164661,0.041165294,0.050664978
E01015182,0.031523643,0.04375,0.04017094,0.032232704,0.058544304,0.055955236,0.055686275,0.063912705,0.058544304,0.055268976,0.025792189,0.029476787
E01015183,0.019253911,0.014268728,0.011976048,0.008393285,0.021686747,0.019329897,0.020330368,0.017994859,0.020481928,0.020026702,0.006675567,0.006675567
E01015184,0.01255887,0.00753012,0.019667171,0.007788162,0.02992126,0.01910828,0.018425461,0.027538726,0.02519685,0.026362039,0.008787346,0
E01015185,0.012285012,0.017766497,0.024327785,0.014647137,0.038512616,0.019310345,0.02728513,0.037921348,0.026560425,0.028288543,0.014144272,0.007072136
E01015186,0.021021021,0.031729785,0.024134313,0.028985507,0.055555556,0.053240741,0.062863795,0.061627907,0.042824074,0.041469194,0.011848341,0.017772512
E01015187,0.007100592,0.015606242,0.010269576,0.009020619,0.029677419,0.01759134,0.014306152,0.013081395,0.006451613,0.007751938,0.007751938,0.007751938
E01015188,0.004944376,0.017262639,0.008849558,0.012626263,0.030927835,0.022486772,0.019157088,0.029040404,0.025773196,0.02528445,0.012642225,0.012642225
E01015189,0.021857923,0.019736842,0.026528258,0.020581114,0.050825921,0.042272127,0.038408779,0.032670455,0.01905972,0.021489971,0.007163324,0.021489971
E01015190,0.014084507,0.011959522,0.022051774,0.023651845,0.039254171,0.033966034,0.044885177,0.040468584,0.040235525,0.041753653,0.010438413,0.005219207
E01015191,0.011326861,0.016748768,0.015180266,0.012927054,0.023719165,0.020348837,0.020309478,0.032007759,0.021821632,0.024038462,0.004807692,0.004807692
E01015192,0.019251337,0.029927761,0.022128556,0.017148982,0.047774159,0.033695652,0.039281706,0.043944266,0.039087948,0.037756203,0.010787487,0.01618123
E01015193,0.006082725,0.01754386,0.016414141,0.018252934,0.033068783,0.030383091,0.031578947,0.025537634,0.022486772,0.021067416,0.007022472,0.007022472
E01015194,0.01863354,0.026078235,0.031376518,0.024691358,0.035752979,0.029252438,0.034949267,0.058486239,0.030335861,0.035169988,0.017584994,0.011723329
E01015195,0.017026107,0.013620885,0.010989011,0.017758047,0.041049031,0.028153153,0.02699784,0.035181237,0.025085519,0.020725389,0.015544041,0.015544041
E01015196,0.032150776,0.038793103,0.040305011,0.033659066,0.061290323,0.062634989,0.065288357,0.084566596,0.074193548,0.067307692,0.038461538,0.033653846
E01015197,0.004796163,0.007326007,0.003722084,0.010178117,0.018518519,0.014588859,0.010723861,0.012784091,0.009259259,0.007342144,0.007342144,0.007342144
E01015198,0.009126467,0.007537688,0.007604563,0.003802281,0.021223471,0.013285024,0.016169154,0.010152284,0.008739076,0.006451613,0.006451613,0.006451613
E01015199,0.00462963,0.013867488,0.012121212,0.0046875,0.017828201,0.011326861,0.009852217,0.006849315,0.008103728,0.008635579,0.008635579,0.008635579
E01015200,0.00990099,0.010327022,0.020547945,#,0.036713287,0.022530329,0.017730496,0.021466905,0.012237762,0.009191176,0.009191176,0.018382353
E01015201,0.003605769,0.011734029,0.005044136,0.010178117,0.031537451,0.018396846,0.014492754,0.011450382,0.011826544,0.01283697,0.006418485,0.01283697
